TASK	PID	Vist	Session	Range x	Range y	Range z	Range pitch	Range roll	Range yaw	Max Displacement	Max Scan-to-Scan Displacement	Mean Scan-to-Scan Displacement	Num Scans > 0.5 Voxel Displacement	Num Scans > 5% Global Signal	% of Volumes Repaired
sym3	9225	2	1	1.222183	1.610260	5.462883	2.564221	6.397541	2.849474	7.732386	2.963388	0.302407	13.000000	0.000000	3.174603
sym3_redo	9225	2	1	0.729080	1.205436	6.428475	3.632181	8.155817	1.555153	5.798942	4.360428	0.382797	15.000000	0.000000	3.628118
sym4	9225	2	1	1.478012	2.101890	10.812977	4.690588	5.800255	3.191921	8.250759	5.658923	0.512083	28.000000	7.000000	7.482993
sym4_redo	9225	2	1	1.356346	1.991279	9.537632	3.347431	10.940787	5.030716	11.234703	9.547481	0.671559	50.000000	7.000000	12.925170
resting	9225	2	1	0.747460	1.275421	6.616123	1.001225	4.878578	1.294418	8.094694	5.308228	0.232736	7.000000	0.000000	1.082544
sym1	9304	1	1	3.499962	3.148911	6.376640	9.437871	15.564859	10.485921	12.839043	14.498564	1.225955	109.000000	13.000000	25.623583
sym2	9304	1	1	3.465836	4.689087	7.201038	9.425430	13.975330	5.192203	12.829493	11.123445	1.463712	160.000000	127.000000	57.596372
sym4	9304	1	1	7.238037	11.750580	5.816360	7.406672	5.398941	3.160250	7.321293	10.655001	1.330294	143.000000	29.000000	34.920635
resting	9304	1	1	3.365387	1.306862	2.775947	15.986001	8.701675	11.763097	14.995790	13.755834	0.393970	37.000000	2.000000	5.142084
sym1	9304	2	1	5.882561	6.588142	8.432320	14.284205	11.037988	12.620106	8.985485	8.329589	1.646675	191.000000	22.000000	44.217687
resting	9304	2	1	2.311402	4.991310	6.242875	5.965788	12.598881	3.312116	12.998398	11.511916	0.655673	77.000000	3.000000	10.690122
sym1	9304	2	2	10.936126	21.516066	28.252680	19.805501	26.103625	14.919800	30.039612	30.825014	2.618409	173.000000	98.000000	49.659864
sym2	9304	2	2	4.899903	19.002621	19.910870	5.266027	23.525275	5.493306	24.764876	20.360975	2.839095	205.000000	300.000000	83.673469
sym3	9304	2	2	7.350540	11.801659	11.348194	5.226188	14.039444	8.515249	18.339903	20.115009	2.480967	189.000000	49.000000	45.578231
sym4	9304	2	2	1.888428	6.748192	7.864517	9.339053	13.302235	3.926568	11.058020	6.910641	0.472185	18.000000	11.000000	6.122449
resting	9304	2	2	1.911736	3.205536	2.255562	0.900860	3.230073	1.980728	3.655371	1.895151	0.260493	2.000000	0.000000	0.405954
sym1	9380	2	1	1.026443	1.706963	9.612369	1.254427	5.437458	2.285830	8.393543	5.269716	0.224447	6.000000	4.000000	2.040816
sym2	9380	2	1	5.390183	3.364037	8.287072	4.179770	5.873715	6.755800	7.959804	8.293120	1.461796	148.000000	10.000000	34.013605
sym3	9380	2	1	5.019135	6.281502	19.740453	4.398161	18.850667	4.538173	17.382175	9.897179	0.812080	72.000000	15.000000	17.233560
sym4	9380	2	1	10.050660	9.086769	12.535764	11.656063	14.224800	7.381499	14.282276	15.568574	2.089211	228.000000	13.000000	52.154195
resting	9380	2	1	8.128319	7.178200	22.803176	11.312695	24.940257	16.569034	24.995982	29.177410	1.678754	163.000000	171.000000	38.430311
sym1	9380	1	1	1.136391	1.682549	1.994892	2.511263	4.896122	1.740388	5.654112	3.704703	0.168323	8.000000	0.000000	2.040816
sym2	9380	1	1	2.153167	3.355186	9.464920	3.103590	9.691096	3.568035	12.332336	8.920052	0.302497	17.000000	5.000000	4.081633
sym3	9380	1	1	1.132264	0.849282	2.450310	2.342821	2.531023	4.547792	3.772246	2.506253	0.182382	10.000000	0.000000	2.494331
sym4	9380	1	1	1.407989	4.871094	6.024028	3.657844	18.599077	4.910284	19.816697	10.344240	0.370427	22.000000	9.000000	6.122449
resting	9380	1	1	0.779640	1.625572	1.559670	3.595307	3.869966	1.834405	4.207979	3.976431	0.124892	5.000000	0.000000	0.811908
sym1	9434	2	1	0.403473	0.540955	1.390553	0.251282	1.153223	0.928520	1.268251	1.757629	0.078855	1.000000	0.000000	0.453515
sym2	9434	2	1	1.800125	0.569687	3.917458	1.175106	1.748228	4.095673	4.870961	2.392876	0.206961	2.000000	1.000000	0.907029
sym3	9434	2	1	0.907746	0.973175	2.718868	0.505659	2.348390	2.122719	3.068423	2.484815	0.133151	2.000000	0.000000	0.680272
sym4	9434	2	1	1.423638	2.503197	5.072200	0.895445	4.747954	2.722771	4.699680	3.977642	0.335702	9.000000	1.000000	2.494331
resting	9434	2	1	0.731415	0.354309	1.606377	0.167416	0.818260	1.351476	1.807376	1.250934	0.069525	0.000000	0.000000	0.135318
grid1	9434	2	1	2.931549	0.660766	3.366959	1.783804	3.439282	7.647462	8.916745	4.844065	0.147836	4.000000	0.000000	1.133787
grid2	9434	2	1	4.027595	1.390754	4.781101	2.842848	6.329021	10.435091	8.596441	7.304153	0.351216	12.000000	1.000000	2.947846
sym1_redo	9099	2	1	1.107140	1.680412	4.696633	1.396141	6.418046	1.574515	5.020734	2.536440	0.352004	9.000000	2.000000	2.494331
sym2	9099	2	1	2.651924	2.169662	5.880882	5.404362	7.065168	2.401527	8.327201	7.559231	0.541196	25.000000	0.000000	5.895692
sym3	9099	2	1	0.404220	0.769996	2.670933	1.693628	3.523712	1.188313	3.553132	2.629244	0.188810	2.000000	0.000000	0.680272
sym4	9099	2	1	0.627373	1.092651	3.902031	1.408918	2.711527	0.962949	3.279189	2.199471	0.237731	2.000000	0.000000	0.680272
resting	9099	2	1	0.386124	0.639877	1.188595	0.347117	1.658463	0.567125	2.055712	1.063012	0.105497	0.000000	0.000000	0.135318
sym1_redo	9099	2	1	1.107140	1.680412	4.696633	1.396141	6.418046	1.574515	5.020734	2.536440	0.352004	9.000000	2.000000	2.494331
sym2	9099	2	1	2.651924	2.169662	5.880882	5.404362	7.065168	2.401527	8.327201	7.559231	0.541196	25.000000	0.000000	5.895692
sym3	9099	2	1	0.404220	0.769996	2.670933	1.693628	3.523712	1.188313	3.553132	2.629244	0.188810	2.000000	0.000000	0.680272
sym4	9099	2	1	0.627373	1.092651	3.902031	1.408918	2.711527	0.962949	3.279189	2.199471	0.237731	2.000000	0.000000	0.680272
resting	9099	2	1	0.386124	0.639877	1.188595	0.347117	1.658463	0.567125	2.055712	1.063012	0.105497	0.000000	0.000000	0.135318
sym2	9120	1	1	3.740150	1.913322	3.976559	6.988458	5.433081	6.023264	9.940628	7.421975	0.254360	10.000000	0.000000	2.494331
sym2_redo	9120	1	1	1.298042	0.909683	3.121761	3.048274	5.648735	2.048561	5.119826	2.942088	0.277898	5.000000	1.000000	1.360544
sym3	9120	1	1	0.650253	1.114349	4.026828	1.220146	2.457001	1.151331	3.540176	1.515509	0.205875	1.000000	0.000000	0.453515
sym4	9120	1	1	3.625626	2.355149	2.028938	6.004812	5.059592	5.298647	7.717732	5.430498	0.640784	23.000000	1.000000	5.442177
sym4_redo	9120	1	1	0.972656	1.153099	7.245407	2.265103	7.776645	2.778315	7.621439	4.885150	0.328854	17.000000	1.000000	4.081633
resting	9120	1	1	0.850235	4.657082	1.447292	1.828026	12.618499	1.948263	13.827141	7.327726	0.133453	8.000000	0.000000	1.217862
grid1	9120	1	1	0.725997	0.633385	6.418061	2.123911	8.793716	1.127571	9.327453	4.246235	0.212938	8.000000	3.000000	2.267574
sym1	9120	2	1	0.135452	0.141365	0.999958	0.457130	1.456186	0.459278	1.226788	0.866556	0.104734	0.000000	0.000000	0.226757
sym2	9120	2	1	0.389092	0.517540	3.353855	0.590443	2.666700	1.166605	3.235713	2.417080	0.204797	6.000000	0.000000	1.587302
sym3	9120	2	1	0.233520	0.717643	1.436763	0.316177	1.582508	0.369629	1.568675	1.748619	0.083262	1.000000	0.000000	0.453515
sym4_redo	9120	2	1	0.248741	1.083863	1.496033	0.489671	2.338579	0.515318	2.532567	1.467084	0.083108	0.000000	0.000000	0.226757
resting	9120	2	1	0.157516	0.174904	1.180717	0.142369	0.670866	0.254177	1.182224	0.940571	0.102323	0.000000	0.000000	0.135318
grid1	9120	2	1	0.693115	3.207962	3.256115	1.304745	10.836286	1.561738	9.061855	5.723986	0.309552	11.000000	1.000000	2.721088
sym1	9145	1	1	1.570435	0.754555	3.091583	1.498319	2.143358	0.876028	3.025897	2.672768	0.093907	1.000000	0.000000	0.453515
sym1_redo	9145	1	1	0.317894	0.226532	0.671180	0.336672	0.779945	0.302499	0.900377	0.305959	0.074463	0.000000	0.000000	0.226757
sym2	9145	1	1	0.183143	0.320610	0.433796	0.264539	1.371954	0.371581	1.507972	0.832511	0.064274	0.000000	0.000000	0.226757
sym3	9145	1	1	0.183770	0.199310	0.487747	0.388705	0.490370	0.300901	0.515120	0.251956	0.053731	0.000000	0.000000	0.226757
sym4	9145	1	1	0.206001	0.267044	0.609906	0.155621	0.383219	0.204621	0.508351	0.170174	0.058803	0.000000	0.000000	0.226757
resting	9145	1	1	1.476104	1.377854	2.652240	2.058865	4.649779	1.694651	5.864481	2.022941	0.124124	1.000000	0.000000	0.270636
grid1	9145	1	1	0.228081	0.181999	1.003791	0.348915	0.518587	0.190328	0.588717	0.393274	0.065222	0.000000	0.000000	0.226757
grid2	9145	1	1	0.183792	0.379685	1.511043	0.306522	2.019047	0.531025	2.066860	1.531817	0.093123	1.000000	0.000000	0.453515
grid3	9145	1	1	0.325866	0.375969	1.713856	0.566683	1.729704	0.676662	1.623011	0.672250	0.086338	0.000000	0.000000	0.226757
sym1	9145	2	1	0.019997	0.032036	0.075741	0.024666	0.045259	0.017298	0.095272	0.059222	0.015194	0.000000	0.000000	4.166667
sym1_redo	9145	2	1	0.165192	0.079048	0.338821	0.121415	0.316822	0.149173	0.441262	0.186343	0.056214	0.000000	0.000000	0.226757
sym2	9145	2	1	0.205833	0.112297	0.865048	0.171688	0.459684	0.242733	0.863578	0.488229	0.054357	0.000000	0.000000	0.226757
sym3	9145	2	1	0.094277	0.065056	0.370445	0.122463	0.256249	0.182066	0.370517	0.147041	0.051198	0.000000	0.000000	0.226757
sym4	9145	2	1	0.075455	0.061485	0.320503	0.109003	0.281414	0.151999	0.355423	0.162046	0.044825	0.000000	0.000000	0.226757
resting	9145	2	1	0.062187	0.090081	0.351474	0.083752	0.256035	0.197712	0.334913	0.158703	0.047804	0.000000	0.000000	0.135318
grid1	9145	2	1	0.265351	0.537460	0.845017	0.255647	0.811808	0.456999	1.076313	0.461718	0.069689	0.000000	0.000000	0.226757
grid2	9145	2	1	0.096458	0.162788	0.268611	0.166126	0.248773	0.201580	0.260958	0.157174	0.053170	0.000000	0.000000	0.226757
grid3	9145	2	1	0.195710	0.318146	0.390487	0.209490	0.581871	0.329275	0.752514	0.496456	0.078124	0.000000	0.000000	0.226757
grid4	9145	2	1	0.275878	0.294723	0.938828	0.318623	0.762836	0.384636	1.101382	0.600254	0.105112	0.000000	0.000000	0.226757
sym1	9206	1	1	6.127929	3.671158	8.031944	7.059188	6.385929	3.014276	10.478977	7.917059	0.479215	27.000000	0.000000	6.349206
sym2	9206	1	1	1.090568	3.966583	5.736992	4.339623	14.954401	1.154831	12.486948	7.767729	0.245994	15.000000	0.000000	3.628118
sym3	9206	1	1	0.540223	1.873085	2.165169	1.406942	3.696981	1.268461	4.507807	3.038149	0.249430	1.000000	0.000000	0.453515
sym4	9206	1	1	0.305527	1.240211	2.452179	0.763256	3.839550	1.145515	4.553965	2.941151	0.130473	3.000000	0.000000	0.907029
resting	9206	1	1	0.229950	0.393654	1.858071	0.597182	2.526037	0.940266	3.031929	0.974581	0.133021	0.000000	0.000000	0.135318
sym1	9206	2	1	0.670021	0.380577	0.938038	1.302378	0.815266	0.630293	1.552159	1.096558	0.084582	0.000000	0.000000	0.226757
sym2	9206	2	1	0.372101	0.474419	2.310901	0.339584	0.634871	0.430084	1.371520	1.234980	0.089257	0.000000	0.000000	0.226757
sym3	9206	2	1	0.839440	2.262878	6.905358	0.988360	4.783266	2.492498	6.603869	4.772816	0.306543	5.000000	11.000000	3.401361
sym4	9206	2	1	0.235993	0.351150	1.811932	1.597534	1.933338	1.955841	2.955554	2.693412	0.088915	2.000000	0.000000	0.680272
resting	9206	2	1	0.676437	1.870606	1.885293	0.643789	9.039514	0.550078	9.033391	5.833292	0.129835	6.000000	0.000000	0.947226
sym1	9210	1	1	1.029884	1.818413	1.271714	1.134060	1.573158	0.948044	2.528461	1.183796	0.132000	0.000000	0.000000	0.226757
sym2	9210	1	1	1.502418	1.790031	0.831062	1.076925	1.597834	1.384872	2.916099	1.673436	0.148806	1.000000	0.000000	0.453515
sym3	9210	1	1	0.777320	1.026024	0.684345	0.438706	0.985930	0.842908	1.840849	0.712486	0.092414	0.000000	0.000000	0.226757
sym4	9210	1	1	0.837983	1.579918	0.472859	0.548342	1.397230	0.819141	2.207079	0.740821	0.121099	0.000000	0.000000	0.226757
resting	9210	1	1	3.402817	2.977944	2.293091	3.260393	2.993956	3.439030	4.158240	2.902720	0.194467	11.000000	0.000000	1.623816
grid1	9210	1	1	0.789520	0.578254	2.306275	1.209820	1.381470	2.452706	2.172835	2.002769	0.131562	3.000000	0.000000	0.907029
grid2	9210	1	1	0.581611	0.394585	0.859169	1.229057	0.971636	1.388798	1.631384	1.488970	0.097768	0.000000	0.000000	0.226757
grid3	9210	1	1	0.282150	0.136467	0.300003	0.350794	0.301477	0.512445	0.503035	0.460709	0.075078	0.000000	0.000000	0.226757
grid4	9210	1	1	0.183304	0.152375	0.453106	0.178316	0.326414	0.474360	0.395267	0.374508	0.070529	0.000000	0.000000	0.226757
sym1	9210	2	1	0.284912	0.176293	0.574925	0.699584	0.577654	0.624855	0.831308	0.451341	0.071479	0.000000	0.000000	0.226757
sym2	9210	2	1	0.996987	0.300766	1.185337	3.325680	2.123430	2.333212	4.152421	1.572090	0.167058	1.000000	0.000000	0.453515
sym3	9210	2	1	0.310646	0.360413	0.941330	1.468797	3.415082	1.345278	4.227617	1.699996	0.164907	2.000000	0.000000	0.680272
sym4	9210	2	1	0.308342	0.265518	0.684673	1.628461	3.290054	1.174301	4.104369	1.288067	0.152283	0.000000	0.000000	0.226757
resting	9210	2	1	0.210510	0.182732	0.467102	0.180015	0.384308	0.348156	0.347605	0.292504	0.061175	0.000000	0.000000	0.135318
grid1	9210	2	1	0.387100	0.178115	0.385013	0.817358	0.464670	0.391518	0.965766	0.382985	0.059807	0.000000	0.000000	0.226757
grid2	9210	2	1	0.122207	0.153221	0.453389	0.209843	0.346294	0.340061	0.445928	0.295728	0.064048	0.000000	0.000000	0.226757
grid3	9210	2	1	0.091934	0.107827	0.308430	0.137540	0.487779	0.251392	0.469686	0.232236	0.066998	0.000000	0.000000	0.226757
grid4	9210	2	1	0.692345	0.336929	1.833851	1.241554	1.295156	0.827705	2.159502	1.189931	0.081964	0.000000	0.000000	0.226757
sym1	9265	1	1	6.876389	12.793649	4.919537	10.235721	2.803291	7.144005	11.479240	12.751186	1.523930	179.000000	63.000000	47.845805
sym2	9265	1	1	0.454727	1.044548	2.916100	1.326551	5.857913	2.202791	6.597088	3.566823	0.350098	10.000000	0.000000	2.494331
sym3	9265	1	1	0.699974	3.333610	4.022457	3.844548	10.534833	3.163151	9.357341	5.608323	0.540093	16.000000	2.000000	3.854875
sym4	9265	1	1	0.144623	0.223061	0.514630	0.178974	0.911493	0.384672	0.826063	0.387273	0.056411	0.000000	0.000000	0.226757
resting	9265	1	1	11.829216	34.666752	7.681507	12.673676	17.764178	5.259888	26.898640	21.710129	1.757965	241.000000	211.000000	50.338295
sym1_redo	9265	1	2	0.341377	0.371887	1.151223	0.416946	2.827282	0.869187	2.278094	0.959751	0.129485	0.000000	0.000000	0.226757
sym2_redo	9265	1	2	0.624412	0.857415	2.545529	1.539063	5.736633	1.322613	3.339077	2.332425	0.245523	2.000000	1.000000	0.907029
sym3_redo	9265	1	2	0.341652	0.860489	1.155182	0.479995	4.538189	0.901243	5.133527	2.539522	0.173526	1.000000	0.000000	0.453515
sym4_redo	9265	1	2	0.318154	0.269790	1.411945	1.002385	1.610241	1.316159	1.469108	1.759265	0.089257	2.000000	0.000000	0.680272
sym1	9289	1	1	0.305687	0.126808	0.799175	0.474644	1.195761	0.480947	1.487909	0.344200	0.064124	0.000000	0.000000	0.226757
sym2	9289	1	1	0.323616	0.154869	0.521038	0.233829	0.748253	0.547800	1.035516	0.253022	0.057573	0.000000	0.000000	0.226757
sym3	9289	1	1	0.376999	0.266731	0.651322	0.310963	0.888342	0.356156	0.967663	0.502971	0.062928	0.000000	0.000000	0.226757
sym4_redo	9289	1	1	0.626663	1.323799	3.302414	1.770714	4.681310	1.206907	4.803368	2.444430	0.159701	5.000000	0.000000	1.360544
resting	9289	1	1	0.322480	0.380089	2.593483	0.951894	1.710996	0.649387	3.240534	0.614352	0.091655	0.000000	0.000000	0.135318
sym1	9289	2	1	1.009896	0.685600	3.479992	3.104988	2.726948	1.741036	4.450939	1.808350	0.142593	3.000000	0.000000	0.907029
sym1_redo	9289	2	1	0.161637	0.230964	1.053044	0.316559	0.640691	0.301092	1.098221	0.376271	0.060711	0.000000	0.000000	0.226757
sym2	9289	2	1	0.440193	0.490501	1.428810	0.413438	1.164196	0.886955	1.342349	0.719631	0.090608	0.000000	0.000000	0.226757
sym3	9289	2	1	0.314873	0.644150	2.066338	0.365339	2.071964	0.512881	2.689556	0.582855	0.129840	0.000000	0.000000	0.226757
sym4	9289	2	1	0.296402	0.370636	0.821678	0.262081	1.061458	0.374878	1.126086	0.405847	0.065457	0.000000	0.000000	0.226757
resting	9289	2	1	2.394356	1.780052	5.256657	5.364116	7.228321	6.403194	6.612887	6.158382	0.232752	18.000000	0.000000	2.571042
grid1	9289	2	1	0.342873	0.359894	1.362614	0.443311	1.831274	0.550749	1.539108	1.029171	0.092471	0.000000	0.000000	0.226757
grid2	9289	2	1	0.729805	1.528099	3.233280	0.979946	3.187954	1.331163	3.363192	1.123669	0.143442	0.000000	0.000000	0.226757
grid3	9289	2	1	0.332031	0.289970	1.771393	0.348942	1.159287	0.556334	1.549690	0.586254	0.091884	0.000000	0.000000	0.226757
grid4	9289	2	1	0.800720	1.444481	3.349716	4.058569	7.363690	3.836836	7.495310	6.399960	0.339184	8.000000	0.000000	2.040816
sym1	9407	1	1	0.367950	0.425056	2.320534	0.518967	1.590055	1.416332	1.547541	0.905054	0.110112	0.000000	0.000000	0.226757
sym2	9407	1	1	9.702774	6.355850	12.095169	24.045016	11.448287	7.759308	18.416147	13.396217	1.743522	152.000000	28.000000	36.507937
sym2_redo	9407	1	1	10.080529	10.271019	17.734426	9.177647	21.495371	15.998605	20.660488	19.520554	2.588968	162.000000	89.000000	43.537415
sym3	9407	1	1	0.459686	0.829407	8.243515	1.090248	5.187347	3.302665	8.239789	3.611612	0.245889	8.000000	0.000000	2.040816
sym3_redo	9407	1	1	1.052254	1.353057	2.872329	2.153790	5.872843	2.848276	5.841381	2.863096	0.453540	12.000000	1.000000	2.947846
sym4	9407	1	1	1.558098	1.951431	8.793121	2.772680	10.094909	3.551124	7.893505	7.292634	0.774593	54.000000	6.000000	13.378685
sym4_redo	9407	1	1	3.509453	3.642495	8.307342	5.746615	10.621097	5.988350	9.230413	7.067270	1.527457	159.000000	6.000000	36.281179
resting	9407	1	1	1.590439	1.082100	6.717132	1.515764	5.081013	5.561542	5.784298	4.775154	0.265449	10.000000	0.000000	1.488498
sym1	9407	2	1	1.658112	1.791801	5.690193	3.735464	10.853238	6.433438	8.048903	6.068986	0.549923	37.000000	1.000000	8.616780
sym1_redo	9407	2	1	1.044823	1.346253	10.425709	1.699259	11.470053	4.643111	12.419489	9.592435	0.682903	37.000000	1.000000	8.616780
sym2	9407	2	1	1.985428	2.545463	12.699661	4.223726	17.029371	6.724315	11.118016	8.189400	0.702158	58.000000	13.000000	13.832200
sym2_redo	9407	2	1	0.581917	0.767243	3.153759	1.095530	8.458622	2.060602	5.428223	2.017613	0.384924	6.000000	0.000000	1.587302
sym3	9407	2	1	3.633979	3.011131	8.738124	6.737225	9.613365	5.756375	10.033670	9.300769	0.921556	61.000000	7.000000	14.058957
sym3_redo	9407	2	1	2.408493	1.743927	12.006871	1.998655	11.410905	5.587632	13.551356	10.141229	0.436219	23.000000	3.000000	5.668934
sym4	9407	2	1	1.395103	2.128273	6.222374	2.012377	8.666649	2.994617	6.176310	4.733920	0.578918	44.000000	1.000000	10.430839
resting	9407	2	1	1.954582	0.824295	4.958115	1.686941	7.828222	4.330214	8.726891	5.589672	0.167652	12.000000	1.000000	1.894452
sym1	9430	2	1	0.445381	1.410286	1.118679	0.707979	2.133944	0.594984	1.655340	1.540242	0.073831	1.000000	0.000000	0.453515
sym2	9430	2	1	0.190407	0.692756	0.634468	0.184916	0.875473	0.354491	0.742529	0.580199	0.086813	0.000000	0.000000	0.680272
sym3	9430	2	1	0.108100	0.191139	0.285785	0.141321	0.439466	0.166450	0.393888	0.446032	0.046120	0.000000	0.000000	0.226757
sym4	9430	2	1	0.047074	0.037133	0.247429	0.048227	0.102013	0.098441	0.248496	0.123359	0.036376	0.000000	0.000000	0.226757
resting	9430	2	1	0.248207	0.480354	0.609303	0.482539	0.776657	0.419433	0.688958	0.740929	0.051694	0.000000	0.000000	0.135318
grid1	9430	2	1	0.573364	2.577003	1.787407	1.226841	3.890310	1.069851	3.148278	2.076187	0.107020	3.000000	0.000000	0.907029
grid2	9430	2	1	1.535866	1.622849	1.768016	2.171392	2.775049	2.099382	3.548841	3.985048	0.108384	4.000000	0.000000	1.133787
sym1	9434	1	1	0.205864	0.646957	0.528869	0.460470	1.647869	0.381125	1.798853	1.018988	0.067947	0.000000	0.000000	0.226757
sym2	9434	1	1	0.162369	0.179161	0.881504	0.358478	0.722572	0.527487	0.797200	0.526250	0.071743	0.000000	0.000000	0.226757
sym4	9434	1	1	0.374550	0.594918	1.684162	0.483660	1.436203	0.683538	1.746213	1.068481	0.086102	0.000000	0.000000	0.226757
resting	9434	1	1	3.488579	1.033592	6.552891	3.432092	2.692175	8.614340	12.160441	10.867437	0.095228	3.000000	0.000000	0.541272
grid1	9434	1	1	2.396759	0.954666	1.613769	5.440113	2.957590	2.551241	4.645140	5.705913	0.321043	26.000000	1.000000	6.122449
grid2	9434	1	1	2.662590	0.966209	1.419331	2.965216	2.557936	2.024185	3.487233	4.924883	0.220273	7.000000	0.000000	1.814059
sym1	9434	2	1	0.403473	0.540955	1.390553	0.251282	1.153223	0.928520	1.268251	1.757629	0.078855	1.000000	0.000000	0.453515
sym2	9434	2	1	1.800125	0.569687	3.917458	1.175106	1.748228	4.095673	4.870961	2.392876	0.206961	2.000000	1.000000	0.907029
sym3	9434	2	1	0.907746	0.973175	2.718868	0.505659	2.348390	2.122719	3.068423	2.484815	0.133151	2.000000	0.000000	0.680272
sym4	9434	2	1	1.423638	2.503197	5.072200	0.895445	4.747954	2.722771	4.699680	3.977642	0.335702	9.000000	1.000000	2.494331
resting	9434	2	1	0.731415	0.354309	1.606377	0.167416	0.818260	1.351476	1.807376	1.250934	0.069525	0.000000	0.000000	0.135318
grid1	9434	2	1	2.931549	0.660766	3.366959	1.783804	3.439282	7.647462	8.916745	4.844065	0.147836	4.000000	0.000000	1.133787
grid2	9434	2	1	4.027595	1.390754	4.781101	2.842848	6.329021	10.435091	8.596441	7.304153	0.351216	12.000000	1.000000	2.947846
sym1	9492	1	1	0.195656	0.199204	0.345341	0.234485	0.560556	0.383423	0.465054	0.422002	0.116046	0.000000	0.000000	0.226757
sym2	9492	1	1	0.139420	0.166848	0.171833	0.125614	0.338543	0.238041	0.279520	0.245280	0.047843	0.000000	0.000000	0.226757
sym3	9492	1	1	0.304756	0.429375	0.408348	0.533840	0.823509	0.574041	1.131789	0.455278	0.058633	0.000000	0.000000	0.226757
sym4	9492	1	1	0.140747	0.282364	0.341210	0.238487	0.411627	0.282221	0.506472	0.240332	0.054656	0.000000	0.000000	0.226757
resting	9492	1	1	0.374207	0.890915	2.229336	0.424060	2.701496	0.582941	3.770556	0.445088	0.083069	0.000000	0.000000	0.135318
grid1	9492	1	1	0.135955	0.204056	0.334168	0.094356	0.290724	0.187568	0.365883	0.198918	0.050093	0.000000	0.000000	0.226757
grid2	9492	1	1	0.127838	0.153717	0.252445	0.094846	0.165674	0.262579	0.239562	0.241142	0.043215	0.000000	0.000000	0.226757
grid3	9492	1	1	0.340302	0.534782	1.073388	0.138423	0.996906	0.377399	1.387445	0.485077	0.051709	0.000000	0.000000	0.226757
